time,letter,conf
2025-12-06 20:23:04,T,0.3673972189426422
2025-12-06 20:43:51,T,0.8513926267623901
2025-12-06 21:03:39,T,0.8513926267623901
2025-12-06 21:03:40,T,0.8513926267623901
2025-12-06 21:03:44,T,0.8513926267623901
2025-12-06 21:03:57,T,0.8513926267623901
2025-12-06 21:03:58,T,0.8513926267623901
2025-12-06 21:04:14,T,0.8513926267623901
2025-12-06 21:04:18,T,0.8513926267623901
2025-12-06 21:04:20,T,0.8513926267623901
2025-12-07 11:54:51,P,0.4566574394702911
2025-12-07 12:09:40,P,0.3851328790187835
2025-12-07 12:20:09,H,0.9044228792190552
2025-12-07 12:40:57,H,0.9044228792190552
2025-12-07 12:41:01,H,0.9044228792190552
2025-12-07 13:02:21,H,0.9044228792190552
2025-12-07 16:13:16,H,0.9044228792190552
2025-12-07 16:13:30,H,0.9044228792190552
2025-12-07 16:13:38,H,0.9044228792190552
2025-12-07 16:22:38,H,0.9044228792190552
2025-12-07 16:22:43,H,0.9044228792190552
2025-12-07 16:28:55,H,0.9044228792190552
2025-12-07 16:32:02,H,0.9044228792190552
2025-12-07 16:35:38,H,0.9044228792190552
2025-12-07 16:48:56,H,0.9044228792190552
